REEF-No,NAME,FORMATION,SYSTEM,SERIES,INTERVAL,LAT,LON,PALEO-LAT,PALEO-LON,REF,BIOTA MAIN,BIOTA SEC,COUNTRY,PBDB,REMARKS
817,"Cordova, Rock Island Co., Illinois",Gower,Silurian,,Wenlock-Ludlow,41.7,-90.3167,-21.9053,-53.2963,613,Stromatoporoids,,United States,13355,read more
818,"Drummond Island, Michigan",,Silurian,,Niagaran,46,-83.6667,-20.2631,-48.4178,613,Stromatoporoids,,United States,,read more
819,"Manitowaning, Manitoulin Isl., Ontario",Manitoulin,Silurian,Llandovery,Rhuddanian,45.7333,-81.8333,-19.807,-50.048,873,Corals,,Canada,79159,read more
820,"Wauwatosa, Milwaukee, Wisconsin",Racine,Silurian,Wenlock,Wenlock,43.0667,-88.0333,-21.5335,-51.6813,613,Stromatoporoids,,United States,24944,read more
821,Livingston,Rio Dulce,Neogene,Miocene,Lower Miocene,15.8,-88.7667,16.2626,-85.9548,614,Corals,,Guatemala,,read more
824,"Tazouta, Fes",,Neogene,Miocene,Tortonian-Messinian,33.6667,-4.6667,33.5633,-4.99364,616,Corals,,Morocco,70928,read more
825,Miodobor (Medobory),,Neogene,Miocene,lower Sarmatian,49.6667,24,50.0141,22.8357,617,Microbes,,Ukraine,70569,read more
826,Anmiter,,Paleogene,Eocene,Ypresian,31.0833,-6.9167,25.3261,-8.78946,618,Non-rudist bivalves,,Morocco,77117,read more
827,Budaörs,,Paleogene,Eocene,Upper Eocene,47.4333,18.9167,43.1384,16.6827,619,Algae,,Hungary,69700,read more
828,Obuda,,Paleogene,Eocene,Upper Eocene,47.6167,19.0333,43.3161,16.8073,619,Algae,,Hungary,69699,read more
829,"Tona, Ebro Basin",,Paleogene,Eocene,Bartonian,41.85,2.2167,39.813,-1.10154,620,Corals,,Spain,,read more
830,Boumalne,,Paleogene,Paleocene,Thanetian,31.3333,-6.1833,24.6266,-7.91172,621,Non-rudist bivalves,,Morocco,,read more
831,Boumalne II,,Paleogene,Eocene,Ypresian,31.5389,-5.5811,25.5771,-7.45744,621,Bryozoans,,Morocco,76990,read more
832,Boumalne III,,Paleogene,Eocene,Lutetian,31.3333,-6.1833,26.9393,-8.60253,621,Non-rudist bivalves,,Morocco,76991,read more
833,Karlby Klint,,Paleogene,Paleocene,Danian,56.4833,10.8833,49.7558,7.7635,622,Bryozoans,,Denmark,2964,read more
834,"Jengka Pass, mud-mounds",Copaqabana,Permian,Guadalupian,Murgabian/Midian,3.5167,102.6333,-28.1613,109.485,623,Microbes,,Malaysia,75755,read more
835,Lake Ferry,,Neogene,Pliocene,lower Pliocene,-41.3833,175.1167,-43.7729,176.044,624,Corals,,New Zealand,34849,read more
836,Hinakura,,Neogene,Miocene,Upper Miocene,-41.3167,175.6667,-45.7745,177.618,625,Corals,,New Zealand,34850,read more
837,Nahal Nizzana,,Paleogene,Eocene,Upper Eocene,30.8333,34.4167,25.8658,29.8559,626,Corals,,Israel,,read more
838,Kalkofenwald,,Neogene,Miocene,Badenian,47.8333,16.5,47.1855,16.0766,627,Corals,,Austria,,read more
839,Amazonas mouth,,Paleogene,Paleocene,Upper Paleocene,4,-49.8333,0.830915,-37.1686,628,Algae,,Brazil,,read more
840,Amazonas mouth II,,Paleogene,Paleocene,Upper Paleocene,2.3333,-48.8333,-0.853299,-36.1999,628,Algae,,Brazil,,read more
845,Amazonas mouth VII,,Paleogene,Oligocene,Late Oligocene,2.5833,-49.25,2.08927,-44.2887,628,Algae,,Brazil,,read more
846,Amazonas mouth VIII,,Paleogene,Oligocene,Late Oligocene,1.6667,-47.9167,1.23307,-42.9162,628,Algae,,Brazil,,read more
847,Amazonas mouth IX,,Neogene,Miocene,lower Miocene,4.1667,-49.8333,4.08762,-46.0154,628,Algae,,Brazil,,read more
848,Amazonas mouth X,,Neogene,Miocene,Middle Miocene,4.1667,-49.8333,4.15873,-47.1425,628,Algae,,Brazil,,read more
849,Amazonas mouth XI,,Neogene,Miocene,Middle Miocene,2.6667,-49.5,2.66811,-46.7693,628,Algae,,Brazil,,read more
850,Amazonas mouth XII,,Neogene,Miocene,Middle Miocene,1.6667,-48,1.70829,-45.2432,628,Algae,,Brazil,,read more
851,Amazonas mouth XIII,,Paleogene,Paleocene,early Paleocene,4.1667,-50.1667,0.622087,-36.5222,628,Algae,,Brazil,,read more
852,Pietraroia,Calcari a briozoi e litotamni,Neogene,Miocene,Burdigalian/Langhian,41.325,14.55,40.5718,13.8454,629,Bryozoans,,Italy,,read more
853,Eggenburg,Zogelsdorf,Neogene,Miocene,Eggenburgian,48.65,15.8167,48.8691,14.1457,630,Bryozoans,,Austria,,read more
854,Monte Massico,,Neogene,Miocene,Burdigalian/Langhian,41.1667,13.9,40.4247,13.1981,631,Bryozoans,,Italy,,read more
856,"Cagayan Ridge, Sulu Sea",,Neogene,Miocene,Middle Miocene,9.175,118.7708,9.62165,119.878,632,Algae,,Philippines,,read more
858,"Mischeef reef, South China Sea",,Neogene,Miocene,Early Miocene,10.0417,115.8528,10.782,117.046,632,Algae,,China,,read more
862,Cape Greco,Pakhna,Neogene,Miocene,Aquitanian,34.9306,34.0931,33.3353,32.4719,634,Corals,,Cyprus,69774,read more
863,W-Cyprus,Pakhna,Neogene,Miocene,Aquitanian,34.8833,32.3833,35.0587,31.9571,634,Corals,,Cyprus,,read more
864,Cape Greco II,Pakhna,Neogene,Miocene,Burdigalian,34.9306,34.0931,33.8064,32.9095,634,Corals,,Cyprus,,read more
865,W-Cyprus II,Pakhna,Neogene,Miocene,Burdigalian,34.95,32.4167,35.0177,31.951,634,Corals,,Cyprus,,read more
866,N-Cyprus,Koronia,Neogene,Miocene,Tortonian,35.0833,33.1667,34.9881,32.7567,634,Corals,,Cyprus,34690,read more
867,"Happy Valley, S-Cyprus",,Neogene,Miocene,Tortonian,34.6667,32.8167,34.6291,32.3224,634,Corals,,Cyprus,,read more
868,W-Cyprus,,Neogene,Miocene,Tortonian,35.05,32.5333,35.0477,32.1266,634,Corals,,Cyprus,,read more
869,Limhamn,,Paleogene,Paleocene,middle Danian,55.5667,12.95,48.8409,9.53651,635,Bryozoans,,Sweden,69603,read more
870,Stevns Klint,,Cretaceous,Upper Cretaceous,Maastrichtian/Danian,55.3167,12.4167,47.758,9.78825,635,Bryozoans,,Denmark,,read more
871,Myjava,,Paleogene,Paleocene,Danian,48.7667,17.6833,42.0741,13.7804,636,Algae,,Slovakia,69636,read more
872,"Cebu, Philippines",,Neogene,Miocene,early Middle Miocene,10.3333,123.75,9.97612,126.514,638,Corals,,Philippines,,read more
873,"Cebu II, Philippines",,Neogene,Miocene,Upper Miocene,10.25,123.75,10.0413,125.321,638,Corals,,Philippines,,read more
874,"Negros, Philippines",,Neogene,Miocene,Upper Miocene,10,122.9167,9.78315,124.49,638,Corals,,Philippines,,read more
875,"NW-Leyte, Philippines",,Neogene,Miocene,upper middle Miocene,11.25,124.4,10.9519,126.742,638,Corals,,Philippines,,read more
876,Bohol,,Neogene,Miocene,Upper Miocene,9.8333,124.1667,9.62866,125.741,638,Corals,,Philippines,,read more
877,"Pacijan, Camotes Isls., Philippines",,Neogene,Miocene,late middle Miocene,10.4167,124.3667,10.1182,126.722,638,Corals,,Philippines,,read more
878,"San Jose de Buan, Samar, Philippines",,Neogene,Miocene,Middle Miocene,11.8333,125,11.5206,127.534,638,Corals,,Philippines,,read more
879,W-Panay,,Neogene,Miocene,early Middle Miocene,10.6667,122.3167,10.2848,125.077,638,Corals,,Philippines,,read more
880,"Iloilo, Panay",,Neogene,Miocene,Upper Miocene,10.6833,122.55,10.4629,124.117,638,Corals,,Philippines,,read more
881,"El Toro, California",,Neogene,Miocene,late middle Miocene,33.5833,-117.6833,32.9586,-113.691,639,Bryozoans,,United States,70679,read more
882,Valzemola,Molare,Paleogene,Oligocene,Chattian,44.3667,8.2,42.6706,7.05887,640,Corals,,Italy,36250,read more
883,Acqui Terme,,Paleogene,Oligocene,Chattian,44.6833,8.4667,42.9783,7.33745,641,Corals,,Italy,69702,read more
884,"Cebu III, Philippines",,Paleogene,Oligocene,Late Oligocene,10.3333,123.8333,9.75293,128.574,642,Corals,,Philippines,,read more
885,"Trankalan Range, Negros",,Paleogene,Oligocene,Late Oligocene,10.85,123.4333,10.2575,128.159,642,Corals,,Philippines,,read more
887,Santan well,,Neogene,Miocene,Upper Miocene,11.0569,123.875,10.8493,125.437,643,Corals,,Philippines,,read more
889,Formentera,,Neogene,Miocene,Upper Miocene,38.6667,1.5333,39.0454,0.743547,645,Corals,,Spain,,read more
891,"Xisha Islands II, South China Sea",Sanya,Paleogene,Oligocene,Late Oligocene,16.6667,112.5,17.5278,113.167,646,Algae,,China,,read more
892,"Xisha Islands III, South China Sea",Meishan,Neogene,Miocene,Middle Miocene,16.3333,111.6667,16.3054,111.416,646,Algae,,China,,read more
893,"Xisha Islands IV, South China Sea",,Neogene,Miocene,Middle Miocene,16.6667,112.5,16.7088,112.215,646,Corals,,China,,read more
894,"Xisha Islands V, South China Sea",,Neogene,Miocene,Late Miocene/Pliocene,16.3333,111.6667,16.1971,111.332,646,Corals,,China,,read more
895,"St. Stephens, Alabama",,Paleogene,Oligocene,lower Oligocene,31.5833,-88.25,31.8193,-82.0399,648,Bryozoans,,United States,,read more
896,"Barbuda II, Lesser Antilles",Highlands,Neogene,Pliocene,lower Pliocene,17.6667,-61.75,17.6708,-61.2359,650,Algae,,Antigua and Barbuda,198642,read more
897,"Capilduy, Alava",,Paleogene,Eocene,Ilerdian,42.7833,-2.5333,38.2112,-3.77932,651,Foraminifera,,Spain,34706,read more
898,Idris Field,,Paleogene,Paleocene,Upper Paleocene,32.7,13.2333,23.2272,10.0839,652,Corals,,Libya,,read more
899,Jebel Murdjadjo,,Neogene,Miocene,Messinian,35.5833,-0.8333,35.4806,-1.06264,653,Corals,,Algeria,70786,read more
900,Santa Pola,,Neogene,Miocene,Messinian,38.2,-0.5167,38.3417,-1.05208,653,Corals,,Spain,69841,read more
901,Salum,,Neogene,Miocene,Middle Miocene,31.5167,25.15,30.8351,24.3484,654,Algae,,Egypt,,read more
902,Mlynka,,Jurassic,Upper Jurassic,Oxfordian,50.1333,19.7167,41.9444,26.5813,655,Microbes,,Poland,,read more
903,"La Gándara, Soba Valley",,Cretaceous,Lower Cretaceous,lower Albian,43.2333,-3.5667,32.0934,3.63976,1716,Microbes,,Spain,56771,read more
904,"Cayman Brac, Caribic",,Neogene,Miocene,Middle Miocene,19.7333,-79.8,20.0432,-76.9661,657,Corals,,United Kingdom,,read more
905,Grafenberg,,Neogene,Miocene,Sarmatian,47.3833,15.9667,46.9184,15.6518,658,Bryozoans,,Austria,25259,read more
906,Maiella,S. Spirito,Paleogene,Paleocene,Danian,42.1667,14.1667,31.3559,12.2595,659,Algae,,Italy,24269,read more
907,Maiella II,,Paleogene,Paleocene,Thanetian,42.1667,14.1667,32.4894,12.455,659,Corals,,Italy,24270,read more
908,Un-ya,Unknown,Permian,Cisuralian,Asselian,61.3667,58.1667,27.9921,35.6403,660,Algae,,Russia,,read more
909,Shaynovkha,,Permian,Cisuralian,Asselian,61.8333,58,28.2059,35.1617,660,Algae,,Russia,,read more
910,Ilych,,Permian,Cisuralian,Asselian,62.5,58.0833,28.6318,34.5768,660,Algae,,Russia,,read more
911,Podcherem,Unknown,Carboniferous,Pennsylvanian,Gzhelian,63.5833,58.3333,29.3571,33.6477,660,Algae,,Russia,197359,read more
912,Shchugor,,Permian,Cisuralian,Asselian,64.2,58.5,29.7728,33.1172,660,Algae,,Russia,,read more
913,Berezovka,,Permian,Cisuralian,Asselian,64.4333,58.4167,29.877,32.8731,660,Algae,,Russia,,read more
914,Kozhym River,Unknown,Carboniferous,Pennsylvanian,Gzhelian,65.5,59.8333,30.2135,32.1401,660,Tubiphytes,,Russia,75611,read more
915,Bol-shaya Saryuga,,Permian,Cisuralian,Asselian,65.5833,58.8333,30.6741,31.8918,660,Algae,,Russia,,read more
916,Shar-yu,,Permian,Cisuralian,Asselian,65.8333,58.3333,30.6447,31.517,660,Algae,,Russia,,read more
917,Zaostrennaya,Unknown,Carboniferous,Pennsylvanian,Gzhelian,66.1667,59,31.056,31.3719,660,Algae,,Russia,,read more
918,Usa,,Carboniferous,,Pennsylvanian,66.8333,59.0833,27.4108,28.3828,661,,,Russia,,read more
919,"Zhunyi, Guizhou",,Ediacaran,Ediacaran,Dengying epoch,27.6833,106.8333,42.9297,165.164,662,Microbes,,China,,read more
920,"Jinsha, Guizhou",,Ediacaran,Ediacaran,Dengying epoch,27.4833,106.2,43.2876,165.817,662,Microbes,,China,,read more
921,"Tonghaiko, Hubei",,Ediacaran,Ediacaran,Dengying epoch,30.1833,113.0333,38.6512,159.654,662,Microbes,,China,,read more
922,"Dashitou, Zhejiang",,Ediacaran,Ediacaran,late Xifengshi epoch,28.1333,119.5833,66.9012,157.331,662,Microbes,,China,,read more
923,"Shiqian, Zhejiang",,Ediacaran,Ediacaran,late Xifengshi epoch,27.6667,119.75,67.3087,156.635,662,Microbes,,China,,read more
924,"Xishui, Guizhou",Minghsingssu,Cambrian,Series 2,Botomian,28.2833,106.2,29.1158,159.679,662,Archaeocyaths,,China,,read more
925,"Yankong, Jinsha, Guizhou",Minghsingssu,Cambrian,Series 2,Botomian,27.4833,106.2,29.6874,159.037,662,Archaeocyaths,,China,79911,read more
926,"Xixiang, Shaanxi",Xiannudong,Cambrian,Series 2,Botomian,32.9667,107.7833,24.802,162.234,662,Microbes,,China,,read more
927,"Mian Xiang, Shaanxi",Xiannudong,Cambrian,Series 2,Botomian,33.1667,106.7167,25.271,163.102,662,Microbes,,China,,read more
928,"Fuchin Settlement, Ziyang, Shaanxi",Xiannudong,Cambrian,Series 2,Botomian,32.55,108.55,24.6504,161.405,2461,Archaeocyaths,,China,51460,read more
929,"Zhengba, Shaanxi",Tianheban,Cambrian,Series 3,late Botomian,32.5333,107.9167,25.0358,161.813,662,Archaeocyaths,,China,,read more
930,"Yutang (Danapo, Limei, Shizishan), Hunan",Qingxudong,Cambrian,Series 3,Toyonian,28.43,109.37,26.6146,157.643,662,Microbes,,China,80091,read more
931,"Changshan, Zhejiang",Sanjushan,Ordovician,Upper Ordovician,late Katian,28.8667,118.5833,2.05891,124.13,662,Microbes,,China,,read more
932,"Yushan, Jiangxi",Xiazhen,Ordovician,Upper Ordovician,late Katian,28.6833,118.2,2.4412,124.111,662,Corals,,China,80138,read more
933,"Shiqian, Guizhou",Xiangshuyuan,Silurian,Llandovery,Aeronian,27.4167,108.2333,8.13217,125.369,662,Microbes,,China,80095,read more
934,"Fenggnang, Guizhou",,Silurian,Llandovery,Aeronian,28,107.7,8.20808,126.123,662,Microbes,,China,,read more
935,"Cheng-kou II, Sichuan",Ningqiang,Silurian,Llandovery,upper Llandovery,31.9667,108.85,4.88878,129.145,662,Corals,,China,,read more
936,"Cheng-kou, Sichuan",Tianheban,Cambrian,Series 3,late Botomian,31.9667,108.85,24.8849,160.754,662,Microbes,,China,,read more
937,"Dachang, Nandan, Guangxi",,Devonian,Lower Devonian,Emsian-Eifelian,24.8,107.6,0.990357,126.31,662,Stromatoporoids,,China,80475,read more
938,"Buzhai, Guizhou",Dushan,Devonian,Middle Devonian,Givetian,25.5,107.5,-0.730227,117.834,662,Stromatoporoids,,China,84330,read more
939,"Dushan, Guizhou",Dushan,Devonian,Middle Devonian,upper Givetian,25.8333,107.5167,-1.05217,117.921,662,Stromatoporoids,,China,,read more
940,"Hezhang, Guizhou",,Devonian,Middle Devonian,Givetian,27.0667,104.7,-1.48405,120.696,662,Stromatoporoids,,China,,read more
941,"Guangziyao, Puan, Guizhou",,Devonian,Middle Devonian,Eifelian,25.8,104.8667,0.154941,123.95,662,Stromatoporoids,,China,,read more
942,"Zhoubanggou, Xilin, Guangxi",,Devonian,Middle Devonian,Eifelian,24.5,105.1167,1.30252,123.298,662,Stromatoporoids,,China,,read more
943,"Jukoupu, Shaoyang, Hunan",Chitzechiao,Devonian,Middle Devonian,Givetian,27.1667,111.4167,-3.43012,115.037,662,Stromatoporoids,,China,80272,read more
944,"Ziyun, Guizhou",,Carboniferous,Mississippian,Lower Carboniferous,25.7333,106.2,-14.5473,98.9851,662,Microbes,,China,,read more
945,"Ziyun II, Guizhou",Maping,Carboniferous,,Pennsylvanian,25.7333,106.2,-13.9895,98.262,662,Algae,,China,,read more
946,"Tarim Basin, Xinjiang",,Carboniferous,,Pennsylvanian,38,85,14.0141,65.3777,662,,,China,,read more
947,"Qiubei, Yunnan",Maokou,Permian,Guadalupian,Maokouan,24.0667,104.1667,-8.05416,97.0407,662,Calcisponges,,China,,read more
948,"Ceheng, Guizhou",,Permian,Guadalupian,upper Moakouan,24.9833,105.8333,-4.92278,98.2018,662,Calcisponges,,China,,read more
949,"Shali, Lingyun, Guangxi",Maokou,Permian,Guadalupian,Maokouan,24.25,106.8333,-6.7281,99.106,662,Microbes,,China,,read more
950,"Tingliang, Ningming, Guangxi",Maokou,Permian,Guadalupian,Maokouan,22.3,107.1667,-8.27593,100.342,662,Calcisponges,,China,,read more
951,"Yuping, Guizhou",,Triassic,Middle Triassic,Anisian,27.2667,108.8333,15.3674,97.2905,662,Microbes,,China,,read more
952,"Nidang, Xingy, Guizhou",,Triassic,Middle Triassic,Anisian,24.0667,104.8833,10.7593,95.9617,662,Algae,,China,,read more
953,"Yinggehai Basin, South China Sea",,Neogene,Miocene,upper lower Miocene,17.8333,107.8333,16.5907,108.731,662,Algae,,China,,read more
956,"Albas II, Corbieres",,Paleogene,Eocene,Ilerdian,43,2.7333,38.5672,0.265766,574,Foraminifera,,France,34705,read more
957,Casale Monferrato II,,Neogene,Miocene,Burdigalian,45.1333,8.45,44.4277,7.89831,664,Algae,,Italy,,read more
958,Acqui Terme II,,Neogene,Miocene,Burdigalian,44.6833,8.4667,43.9775,7.89732,664,Algae,,Italy,,read more
959,Roztocze II,,Neogene,Miocene,Badenian,50.7667,22.0833,51.0838,20.7153,666,Algae,,Poland,70539,read more
960,NW-Moldavia,,Neogene,Miocene,Badenian,48.1667,27.0833,48.5246,25.8001,667,Algae,,Moldova,78644,read more
961,"Ungeny, Moldavia",,Neogene,Miocene,Badenian,47.1667,27.7167,47.5297,26.4553,667,Algae,,Moldova,78643,read more
962,"Komrat, Moldavia",,Neogene,Miocene,Badenian,46.3,28.6667,46.6704,27.4261,667,Algae,,Moldova,78684,read more
963,W-Ukraine,,Neogene,Miocene,Badenian,48.5833,27,48.9405,25.7088,668,Algae,,Ukraine,,read more
964,Volterra,,Neogene,Miocene,Messinian,43.4,10.8667,43.2234,10.6958,670,Corals,,Italy,,read more
965,"Castelnuovo, Tuscany",Rosignano Limestone,Neogene,Miocene,Messinian,43.4333,10.45,43.2592,10.2807,670,Corals,,Italy,69899,read more
966,"Salemi, Sicily",,Neogene,Miocene,Messinian,37.8,12.8,37.6121,12.5658,670,Corals,,Italy,69923,read more
967,"Ciminna, Sicily",,Neogene,Miocene,Messinian,37.8833,13.5667,37.6908,13.3313,670,Corals,,Italy,,read more
968,"Petralia, Sicily",,Neogene,Miocene,Messinian,37.8,14.1,37.6044,13.8624,670,Corals,,Italy,,read more
969,Barcelona-Tarragona,,Neogene,Miocene,Tortonian,41.1667,1.5,41.3872,0.664731,670,Corals,,Spain,,read more
970,"Neffies and Autignac, Languedoc",,Neogene,Miocene,Middle Miocene,43.5333,3.3333,43.7021,2.11743,670,Corals,,France,70317,read more
971,Torino-Casale,,Neogene,Miocene,Tortonian,45.1667,8.1667,44.9267,7.9529,525,Algae,,Italy,,read more
972,Darma,Tuwaiq Mountain Limestone,Jurassic,Middle Jurassic,Callovian,24.6167,46.0667,-1.40075,33.8147,671,Corals,,Saudi Arabia,,read more
973,Khashm Furaythan,Tuwaiq Mountain Limestone,Jurassic,Middle Jurassic,Callovian,25.75,45.1667,-0.0211776,33.6038,671,Corals,,Saudi Arabia,34544,read more
974,"Gumbulak, Gissara",,Jurassic,Upper Jurassic,middle Oxfordian,38.3333,66.4167,36.4209,71.4679,672,Corals,,Uzbekistan,,read more
975,"Vostok Manych, Caucasus",Kumanskaya,Triassic,Lower Triassic,middle-upper Scythian,45.5,44.5,23.3448,44.1755,673,Microbes,,Russia,,read more
976,Khor el Kuk + Khor Eit,Abu Imama,Neogene,Miocene,early Middle Miocene,20.25,37.0833,19.4311,36.0456,674,Corals,,Sudan,56772,read more
977,Muhammed Qol,,Neogene,Miocene,Middle Miocene,20.9167,37.15,20.1135,36.1379,674,Corals,,Sudan,,read more
978,Massawa,,Neogene,Miocene,Middle Miocene,15.6167,39.4667,14.7939,38.3939,675,Corals,,Ethiopia,,read more
979,Abu Shagara Peninsula,,Neogene,Pliocene,Pliocene,21.1,37.3167,20.8034,36.9282,674,Corals,,Sudan,,read more
980,Jebel Umm Er Rus,,Neogene,Miocene,Middle Miocene,26.3181,50.1306,23.8183,48.0536,676,Corals,,Saudi Arabia,,read more
981,Etrochey,,Jurassic,Middle Jurassic,early Callovian,47.8833,4.5667,37.9706,14.2756,677,Corals,,France,,read more
990,"Chunku River, Siberia",,Ordovician,Upper Ordovician,Ashgillian,62.1667,98.3333,12.7904,15.2481,680,Corals,,Russia,,read more
991,"Morkoka River, Yakutsk",,Ordovician,Upper Ordovician,Ashgillian,64.5,115,13.1127,7.24177,680,Corals,,Russia,,read more
992,Vaygach Island,Varnek,Ordovician,Upper Ordovician,Ashgillian,70,60,-11.2279,4.03323,680,Microbes,,Russia,,read more
993,"Pay-Khoy, Kozhym River, Supolar Urals",Yaptikshor,Ordovician,Upper Ordovician,Hirnantian,65.4167,60.8333,-11.1439,6.68937,680,Stromatoporoids,,Russia,80693,read more
994,South Tran-Urals,,Ordovician,Upper Ordovician,Ashgillian,52.5,60.5,-7.22187,46.6957,680,Microbes,,Russia,,read more
995,"Baraniy + Sakkyryr River, Sette Daban Mountains",Baraniy,Ordovician,Upper Ordovician,Ashgill,62.9167,138.15,14.1365,-3.18623,2660,Corals,,Russia,79499,read more
996,"Omulevka River, Yakutsk",Tirekhtyakh,Ordovician,Upper Ordovician,Hirnantian,64.5,149,11.6251,-11.3256,680,Corals,,Russia,142465,read more
997,"Chersk Range, Yakutsk",,Ordovician,Upper Ordovician,Ashgillian,64.5,147.5,10.4041,-10.4511,680,Corals,,Russia,,read more
998,Tas-Khayakhtakh Range,,Ordovician,Upper Ordovician,Ashgill,68,140,8.09778,-6.1131,680,Stromatoporoids,,Russia,,read more
999,"Chukotsk Peninsula, Magadan",Chegitun,Ordovician,Upper Ordovician,Hirnantian,66.5,-171.1667,15.7493,-36.8272,680,Corals,,Russia,80675,read more
1000,Penzhin Range,,Ordovician,Upper Ordovician,Ashgillian,63,168,-4.48591,-19.8538,680,Corals,,Russia,,read more
1001,"Parnaya River, Taymyr",,Ordovician,Upper Ordovician,Ashgillian,75.25,104.5,1.82311,7.72864,680,Corals,,Russia,,read more
1002,"Nizhnaya, Taymyra River",,Ordovician,Upper Ordovician,Ashgillian,74,99,2.37513,9.56817,680,Corals,,Russia,,read more
1003,"Moyero River, Siberia",,Silurian,,Llandovery,66.8333,104.5,16.2262,5.40377,680,Corals,,Russia,,read more
1004,"Noril-sk, Siberia",,Silurian,,Llandovery,69.35,88.0333,11.1389,9.75528,680,Corals,,Russia,,read more
1005,"Bakhta River, Siberia",,Silurian,,Llandovery,63.5,89.5833,16.241,12.7696,680,Corals,,Russia,,read more
1006,"Nizhnyaya, Bol-shaya Kuonda R.",,Silurian,,Llandovery,67.1667,112.3333,16.7441,2.24088,680,Corals,,Russia,,read more
1007,"Balban-yu River, Pechora",,Silurian,,Wenlock/Ludlow,65.75,61.9167,5.24646,3.32601,680,Corals,,Russia,,read more
1008,N-Timan Range,,Silurian,,Llandovery,67.5,48.5,-8.85062,1.01696,680,Corals,,Russia,,read more
1009,"Novaya Zemlya, Khastanzeya",,Silurian,,Llandovery,70.8333,57.5,-4.36244,-0.0541683,680,Corals,,Russia,,read more
1010,"W-Sayan Range, Siberia",Aktash,Silurian,,Llandovery,51.75,90,25.8079,20.0946,680,Corals,,Russia,78709,read more
1011,"Elegest River, Tuva",,Silurian,Llandovery,upper Llandovery,51.5,94.2,27.5328,17.8891,680,Corals,,Russia,79925,read more
1012,Taymyr,,Silurian,,Llandovery,75.5,104,8.01972,2.54637,680,Corals,,Russia,,read more
1013,Tompo and Vost Khandygi Rivers,,Silurian,Llandovery,upper Llandovery,64.0833,137.9167,19.4735,-8.8763,680,Stromatoporoids,,Russia,,read more
1014,"Omulev Mountains, Yakutsk",,Silurian,,Llandovery,64.5,149,15.5998,-16.9559,680,Corals,,Russia,,read more
1015,"Noril-sk, Siberia",,Silurian,Wenlock,Wenlock,69.25,88.5,18.1174,0.596938,680,Stromatoporoids,,Russia,,read more
1016,"Kereyka River, Siberia",,Silurian,Wenlock,Wenlock,62.1667,91.3333,24.6528,3.7842,680,Stromatoporoids,,Russia,,read more
1017,"Moyero River II, Siberia",,Silurian,Wenlock,Wenlock,66.6667,104.1667,23.0253,-3.79042,680,Stromatoporoids,,Russia,,read more
1018,Nizhnyaya II,,Silurian,Wenlock,Wenlock,66.8333,112.5833,23.6589,-7.34449,680,Stromatoporoids,,Russia,,read more
1019,"Nyuya, Siberia",,Silurian,Wenlock,Wenlock,60.5833,116.25,30.0637,-8.24452,680,Stromatoporoids,,Russia,,read more
1020,"Novaya Zemlya, Khastanzeya II",,Silurian,Wenlock,Wenlock,70.6667,57.8333,3.68288,-1.34369,680,Stromatoporoids,,Russia,23498,read more
1021,SW Vaygach Island,Greben,Silurian,,Wenlock-Ludlow,70,60,6.26204,-0.884251,680,Stromatoporoids,,Russia,,read more
1022,"NW-Urals, Bel-sko-Yelets Zone",,Silurian,Wenlock,Wenlock,67,61,3.16538,2.46769,680,Stromatoporoids,,Russia,,read more
1023,Tagil-Magnitogorsk Syncline,,Silurian,,Wenlock-Ludlow,55,60.5,0.315651,12.9176,680,Stromatoporoids,,Russia,,read more
1024,"Elegest II, Tuva",,Silurian,Wenlock,Wenlock,51.3667,93.9167,34.4602,9.23997,680,Corals,,Russia,79083,read more
1025,"Tareya River, Taymyr",,Silurian,Wenlock,Wenlock,73.3333,91.1667,15.1489,-2.46133,680,Stromatoporoids,,Russia,,read more
1026,"Nizhnaya II, Taymyra River",,Silurian,Wenlock,Wenlock,74,99.5,15.6101,-4.94027,680,Stromatoporoids,,Russia,,read more
1027,"Parnaya River II, Taymyr",,Silurian,Wenlock,Wenlock,75.25,104.5,14.8841,-6.67127,680,Stromatoporoids,,Russia,,read more
1028,"Iryudi River, Omulev Mts.",,Silurian,Wenlock,Wenlock,64.8333,150.5,20.4027,-27.4104,680,Corals,,Russia,,read more
1029,S-Novaya Zemlya,,Devonian,Middle Devonian,Givetian,70.75,55,6.6343,4.29165,680,Stromatoporoids,,Russia,,read more
1030,"Yelets-Usa Rivers, Urals",,Devonian,Middle Devonian,Givetian,67.0667,64,9.37718,8.38632,680,Stromatoporoids,,Russia,,read more
1031,"Central Tagil Syncline, Urals",,Devonian,Middle Devonian,Givetian,60.5,60.3333,7.13042,14.83,680,Stromatoporoids,,Russia,,read more
1032,Kolyvan-Tomsk Trough,,Devonian,Middle Devonian,Givetian,62,84.3333,26.5638,12.0879,680,Corals,,Russia,,read more
1033,Kolyvan-Tomsk Trough II,,Devonian,Middle Devonian,Givetian,60.3333,85,27.7386,13.4649,680,Corals,,Russia,,read more
1034,Kolyvan-Tomsk Trough III,,Devonian,Middle Devonian,Givetian,59,85.0833,28.4923,14.7128,680,Corals,,Russia,,read more
1035,"Nyurol Basin, Siberia",,Devonian,Middle Devonian,Givetian,56.3333,78,26.4162,19.3761,680,Corals,,Russia,,read more
