REEF-No,NAME,FORMATION,SYSTEM,SERIES,INTERVAL,LAT,LON,PALEO-LAT,PALEO-LON,REF,BIOTA MAIN,BIOTA SEC,COUNTRY,PBDB,REMARKS
3786,"Kizas River, Western Sayan, Khakasiya",Upper Monok,Cambrian,Series 2,Botomian,52.25,89.0333,-6.65109,9.03719,2698,Archaeocyaths,,Russia,81448,read more
3787,"Kandat River, Western Sayan, Khakasiya",Chekhan,Cambrian,Series 3,Toyonian,52.5,89.3333,-6.75527,8.74331,2698,Archaeocyaths,,Russia,81461,read more
3788,"Shivelig-Khem River, Tuva",Upper Shangan,Cambrian,Series 2,Botomian,51.4,94.2333,-4.21611,6.76465,2698,Archaeocyaths,,Russia,81467,read more
3789,"Bayan Kol River, Sayan, Tuva",Bayan Kol,Cambrian,Series 2,Atdabanian,51.5833,93.6,-6.31928,5.26044,2698,Microbes,,Russia,81246,read more
3790,"Bayan Kol River, Sayan, Tuva",Bayan Kol,Cambrian,Series 2,Botomian,51.5833,93.6,-4.57459,7.01149,2698,Microbes,,Russia,81475,read more
3791,"Utuk-Khaya Mountains, Tuva",Akdurug,Cambrian,Series 2,Botomian,51.7167,92.2,-5.14049,7.68629,2698,,,Russia,81476,read more
3792,"Kadvoy River, Tannu-Ola Mountains, Tuva",Irbitey,Cambrian,Series 2,Botomian,50.95,92.8333,-4.28018,7.75161,2698,Microbes,,Russia,81483,read more
3793,"Irey-Khem River, Sayan, Tuva",Khamsarin,Cambrian,Series 3,Toyonian,52.85,95.3333,-5.13468,5.45082,2698,Archaeocyaths,,Russia,81490,read more
3794,"Dedebulak bioherms, Ulug-Tau Mountains",Dedebulak,Cambrian,Series 2,Botomian-Toyonian,40.4,72.35,-21.5941,49.721,2699,Microbes,,Kyrgyzstan,81268,read more
3795,"Mount Murchison, Alberta",Bison Creek,Cambrian,Furongian,Sunwaptan,51.8833,-116.6667,1.08052,-77.6294,2700,Microbes,,Canada,81299,read more
