"id_no";"binomial";"presence";"origin";"seasonal";"compiler";"yrcompiled";"citation";"source";"dist_comm";"island";"subspecies";"subpop";"legend";"tax_comm";"kingdom";"phylum";"class";"order_";"family";"genus";"category";"marine";"terrestial";"freshwater";"SHAPE_Leng";"SHAPE_Area"
172531;"Trioceros jacksonii";1;1;1;"Krystal Tolley";2014;"IUCN";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Trioceros";"LC";"False";"True";"False";8.29448519851;2.43676514473
172796;"Calumma hafahafa";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Calumma";"CR";"False";"True";"False";0.112137689722;0.000402785416909
172796;"Calumma hafahafa";1;1;1;"Madagasikara Voakajy";2010;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Calumma";"CR";"False";"True";"False";0.11213769108;0.000402785428818
176298;"Brookesia therezieni";1;1;1;"Madagasikara Voakajy";2010;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Brookesia";"LC";"False";"True";"False";11.8529121584;2.58052107485
176298;"Brookesia therezieni";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Brookesia";"LC";"False";"True";"False";11.8529121535;2.58052107432
172795;"Brookesia peyrierasi";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Brookesia";"EN";"False";"True";"False";2.84627422557;0.317942897496
172795;"Brookesia peyrierasi";1;1;1;"Madagasikara Voakajy";2010;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Brookesia";"EN";"False";"True";"False";2.8462742232;0.317942897486
172657;"Chamaeleo zeylanicus";1;1;1;"Snake and Lizard RLA";2014;"International Union for Conservation of Nature (IUCN), Western Ghats Reptiles CAMP";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Chamaeleo";"LC";"False";"True";"False";6.48578268351;0.236579304409
172657;"Chamaeleo zeylanicus";1;1;1;"C. Srinivasulu & B. Srinivasulu";2011;"International Union for Conservation of Nature (IUCN), Western Ghats Reptiles CAMP";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Chamaeleo";"LC";"False";"True";"False";92.5669795455;172.291212174
172565;"Kinyongia fischeri";1;1;1;"Krystal Tolley";2014;"IUCN";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Kinyongia";"NT";"False";"True";"False";2.26311093807;0.020139479839
172748;"Brookesia karchei";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Brookesia";"EN";"False";"True";"False";1.39581303108;0.0500966766557
172748;"Brookesia karchei";1;1;1;"Madagasikara Voakajy";2010;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Brookesia";"EN";"False";"True";"False";1.39581302324;0.0500966767042
172925;"Calumma hilleniusi";1;1;1;"Madagasikara Voakajy";2010;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Calumma";"EN";"False";"True";"False";2.13951068161;0.0713735682758
172925;"Calumma hilleniusi";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Calumma";"EN";"False";"True";"False";2.13951068908;0.0713735681317
172844;"Brookesia ebenaui";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Brookesia";"VU";"False";"True";"False";5.50943305411;1.19517536539
172861;"Calumma nasutum";1;1;1;"Madagasikara Voakajy";2010;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Calumma";"LC";"False";"True";"False";39.4355189528;17.2092639888
176305;"Calumma peyrierasi";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Calumma";"VU";"False";"True";"False";1.39581303108;0.0500966766557
172930;"Brookesia ambreensis";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Brookesia";"NT";"False";"True";"False";1.17594651868;0.0320738624776
172930;"Brookesia ambreensis";1;1;1;"Madagasikara Voakajy";2010;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Brookesia";"NT";"False";"True";"False";1.17594652079;0.0320738625621
172529;"Rhampholeon temporalis";1;1;1;"Krystal Tolley";2014;"IUCN";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Rhampholeon";"EN";"False";"True";"False";1.34734610036;0.0482315793921
193482;"Calumma tarzan";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Calumma";"CR";"False";"True";"False";0.476506189609;0.00080179808492
172572;"Trioceros pfefferi";1;1;1;"IUCN";2015;"International Union for the Conservation of Nature";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Trioceros";"EN";"False";"True";"False";6.12655231219;0.426121835637
172950;"Furcifer petteri";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Furcifer";"VU";"False";"True";"False";9.87653409727;0.916856130628
176306;"Chamaeleo calyptratus";1;1;1;"Phil Bowles";2012;"IUCN, CI";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Chamaeleo";"LC";"False";"True";"False";18.0013755019;7.79858859207
176307;"Trioceros chapini";1;1;1;"SRLI";2011;"Red List Index (Sampled Approach), Zoological Society of London";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Trioceros";"LC";"False";"True";"False";28.0196634511;45.5266652875
