"sys","system","series","stage","short","bottom","mid","top","dur","stg","systemCol","seriesCol","col"
"C","Carboniferous","Mississippian","Visean","Vis",346.73,338.535,330.34,16.39,37,"#6eafb5","#769e83","#b7c089"
"C","Carboniferous","Mississippian","Serpukhovian","Ser",330.34,326.87,323.4,6.94,38,"#6eafb5","#769e83","#cdc888"
"C","Carboniferous","Pennsylvanian","Bashkirian","Bas",323.4,319.275,315.15,8.25,39,"#6eafb5","#a6c9cd","#a6c9cd"
"C","Carboniferous","Pennsylvanian","Moscovian","Mos",315.15,311.085,307.02,8.13,40,"#6eafb5","#a6c9cd","#bed3ce"
"C","Carboniferous","Pennsylvanian","Kasimovian","Kas",307.02,305.35,303.68,3.34,41,"#6eafb5","#a6c9cd","#cad8d9"
"C","Carboniferous","Pennsylvanian","Gzhelian","Gzh",303.68,301.285,298.89,4.79,42,"#6eafb5","#a6c9cd","#d6dcda"
"P","Permian","Cisuralian","Asselian","Ass",298.89,296.205,293.52,5.37,43,"#e35b41","#e5755f","#e07f6c"
"P","Permian","Cisuralian","Sakmarian","Sak",293.52,292.015,290.51,3.01,44,"#e35b41","#e5755f","#e18a76"
"P","Permian","Cisuralian","Artinskian","Art",290.51,286.905,283.3,7.21,45,"#e35b41","#e5755f","#e39684"
"P","Permian","Cisuralian","Kungurian","Kun",283.3,278.835,274.37,8.93,46,"#e35b41","#e5755f","#e49f90"
"P","Permian","Guadalupian","Roadian","Roa",274.37,271.79,269.21,5.16,47,"#e35b41","#f18f76","#f49984"
"P","Permian","Guadalupian","Wordian","Wor",269.21,266.775,264.34,4.87,48,"#e35b41","#f18f76","#f4a692"
"P","Permian","Guadalupian","Capitanian","Cap",264.34,261.945,259.55,4.79,49,"#e35b41","#f18f76","#f6af9b"
"P","Permian","Lopingian","Wuchiapingian","Wuc",259.55,256.895,254.24,5.31,50,"#e35b41","#f8baab","#fac4b8"
"P","Permian","Lopingian","Changhsingian","Chg",254.24,253.07,251.9,2.34,51,"#e35b41","#f8baab","#facfc6"
"Tr","Triassic","Lower Triassic","Induan","Ind",251.9,250.89,249.88,2.02,52,"#984b99","#a9599e","#b266a6"
"Tr","Triassic","Lower Triassic","Olenekian","Ole",249.88,248.29,246.7,3.18,53,"#984b99","#a9599e","#bb71ac"
"Tr","Triassic","Middle Triassic","Anisian","Ani",246.7,244.08,241.46,5.24,54,"#984b99","#bd86bd","#c793c3"
"Tr","Triassic","Middle Triassic","Ladinian","Lad",241.46,239.23,237,4.46,55,"#984b99","#bd86bd","#d0a0c8"
"Tr","Triassic","Upper Triassic","Carnian","Car",237,232.15,227.3,9.7,56,"#984b99","#c9a6d0","#d1b3d5"
"Tr","Triassic","Upper Triassic","Norian","Nor",227.3,218.405,209.51,17.79,57,"#984b99","#c9a6d0","#dbc1de"
